,ID,eventSec,matchPeriod,subEventName,startingX,startingY,finishingX,finishingY,playerFirstName,role_x,playerName,recipientFirstName,role_y,recipientName,clubName,countryName,dateutc,groupName,label,Tag_1_Description,Tag_2_Description,Tag_3_Description,Tag_4_Description,Tag_5_Description,Tag_6_Description
56604,123.0,336.529855,1H,Smart pass,82.0,14.0,86.0,8.0,Salem Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salem Al Dawsari,,,,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Not accurate,,,,,
603,152.0,404.018669,1H,Smart pass,80.0,76.0,95.0,79.0,Fyodor,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",F. Smolov,M\u00e1rio Figueira,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M\u00e1rio Fernandes,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Accurate,,,,,
89452,224.0,648.858409,1H,Simple pass,70.0,75.0,87.0,53.0,Roman,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Zobnin,,,,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,Accurate,,,,
101683,231.0,690.869877,1H,Cross,77.0,23.0,93.0,60.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,Yury,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Y. Gazinskiy,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Assist,Right foot,High,Accurate,,
95054,487.0,1817.834741,1H,Free kick cross,82.0,86.0,89.0,56.0,Salman Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salman Al Faraj,Yasir Gharsan,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Yasir Al Shahrani,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,High,Accurate,,,
73788,564.0,2055.36221,1H,Smart pass,64.0,35.0,85.0,40.0,Yasir Gharsan,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Yasir Al Shahrani,,,,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
73790,574.0,2079.293175,1H,Smart pass,74.0,29.0,79.0,24.0,Salem Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salem Al Dawsari,,,,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
73791,915.0,360.21713,2H,Smart pass,57.0,62.0,80.0,68.0,Roman,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Zobnin,,,,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
73793,1041.0,839.250434,2H,Smart pass,73.0,20.0,77.0,30.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,,,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
101620,1143.0,1156.676578,2H,Cross,86.0,22.0,86.0,48.0,Fyodor,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",F. Smolov,,,,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,Right foot,High,Accurate,,
101682,1262.0,1551.628619,2H,Cross,86.0,77.0,93.0,47.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,,,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Assist,Right foot,High,Accurate,,
95055,1321.0,1886.4856179999997,2H,Free kick cross,78.0,86.0,88.0,56.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,Roman,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Zobnin,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,High,Accurate,,,
73789,1432.0,2224.7402140000004,2H,Smart pass,66.0,12.0,93.0,30.0,Yasir Gharsan,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Yasir Al Shahrani,,,,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
57906,1605.0,43.988158999999996,1H,Smart pass,39.0,88.0,57.0,99.0,Jos\u00e9 Mar\u00eda,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Gim\u00e9nez,,,,Club Atl\u00e9tico de Madrid,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Not accurate,,,,,
88766,1625.0,101.70763799999997,1H,Smart pass,72.0,44.0,76.0,46.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,FC Barcelona,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Through,Accurate,,,,
8967,1676.0,245.41904,1H,Smart pass,68.0,3.0,97.0,9.0,Marwan,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Marwan Mohsen,Mahmoud Ibrahim,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Tr\u00e9z\u00e9guet,,Egypt,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Accurate,,,,,
9287,2296.0,2268.405558,1H,Smart pass,73.0,51.0,83.0,31.0,Diego Roberto,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",D. God\u00edn,Giorgian Daniel,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",G. De Arrascaeta,Club Atl\u00e9tico de Madrid,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Accurate,,,,,
9199,2360.0,2543.711049,1H,Smart pass,50.0,87.0,76.0,76.0,Jos\u00e9 Mar\u00eda,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Gim\u00e9nez,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,Club Atl\u00e9tico de Madrid,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Accurate,,,,,
88765,2474.0,48.279141999999865,2H,Smart pass,72.0,36.0,88.0,62.0,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,Paris Saint-Germain FC,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Through,Accurate,,,,
57867,2562.0,384.8682880000001,2H,Smart pass,88.0,35.0,99.0,34.0,Mahmoud Ibrahim,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Tr\u00e9z\u00e9guet,,,,,Egypt,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Not accurate,,,,,
73719,2678.0,703.596094,2H,Smart pass,73.0,87.0,74.0,77.0,Ahmed Fathy Abdel Meneim,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Ahmed Fathy,,,,,Egypt,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Counter attack,Not accurate,,,,
73911,2829.0,1258.3883079999996,2H,Smart pass,64.0,72.0,88.0,67.0,Rodrigo,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Bentancur,,,,Juventus FC,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Through,Not accurate,,,,
9411,3002.0,1820.9980750000004,2H,Smart pass,64.0,39.0,89.0,97.0,Rodrigo,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Bentancur,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,Juventus FC,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Accurate,,,,,
9652,3003.0,1828.8411400000005,2H,Smart pass,89.0,97.0,92.0,81.0,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Accurate,,,,,
89469,3143.0,2249.0675010000004,2H,Head pass,86.0,36.0,81.0,43.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,FC Barcelona,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Key pass,Accurate,,,,
9470,3217.0,2481.6572720000004,2H,Smart pass,62.0,29.0,78.0,38.0,Jos\u00e9 Mart\u00edn,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. C\u00e1ceres,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,SS Lazio,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Accurate,,,,,
95150,3236.0,2637.0052859999996,2H,Free kick cross,91.0,90.0,92.0,49.0,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,,,,,Uruguay,2018-06-15 12:00:00,Group A,"Egypt - Uruguay, 0 - 1",Assist,High,Accurate,,,
94550,3346.0,70.74248499999999,1H,Smart pass,74.0,24.0,84.0,46.0,Denis,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Cheryshev,,,,Valencia Club de F\u00fatbol,Russia,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Counter attack,Through,Not accurate,,,
73915,3435.0,375.268947,1H,Smart pass,70.0,51.0,91.0,55.0,Abdallah Mahmoud El Said,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Abdallah Said,,,,,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Through,Not accurate,,,,
73917,3556.0,816.816857,1H,Smart pass,80.0,23.0,92.0,49.0,Marwan,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Marwan Mohsen,,,,,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Through,Not accurate,,,,
95077,3558.0,850.371586,1H,Corner,100.0,0.0,95.0,42.0,Abdallah Mahmoud El Said,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Abdallah Said,Marwan,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Marwan Mohsen,,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Key pass,High,Accurate,,,
73919,3799.0,1633.562997,1H,Smart pass,68.0,74.0,87.0,84.0,Tarek,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Tarek Hamed,,,,,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Through,Not accurate,,,,
95078,3928.0,2027.433794,1H,Corner,100.0,0.0,96.0,32.0,Abdallah Mahmoud El Said,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Abdallah Said,Marwan,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Marwan Mohsen,,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Key pass,High,Accurate,,,
101632,3939.0,2071.814801,1H,Cross,81.0,95.0,91.0,42.0,Ahmed Fathy Abdel Meneim,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Ahmed Fathy,Marwan,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Marwan Mohsen,,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Key pass,Right foot,High,Accurate,,
99523,4027.0,2320.930272,1H,Smart pass,76.0,25.0,90.0,55.0,Mohamed Naser,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Mohamed Elneny,Marwan,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Marwan Mohsen,Arsenal FC,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Counter attack,Through,Accurate,,,
73918,4261.0,367.879046,2H,Smart pass,79.0,72.0,88.0,65.0,Marwan,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Marwan Mohsen,,,,,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Through,Not accurate,,,,
99635,4381.0,817.3312940000001,2H,Cross,97.0,74.0,93.0,58.0,M\u00e1rio Figueira,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M\u00e1rio Fernandes,Denis,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Cheryshev,,Russia,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Assist,Right foot,Accurate,,,
74929,4401.0,964.6512030000004,2H,Free Kick,40.0,96.0,82.0,56.0,Ilya,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",I. Kutepov,,,,,Russia,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Assist,Not accurate,,,,
95079,4407.0,1070.0401709999996,2H,Free kick cross,66.0,26.0,89.0,58.0,Mohamed Naser,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Mohamed Elneny,Ali,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Ali Gabr,Arsenal FC,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Key pass,High,Accurate,,,
89470,4475.0,1306.5554730000003,2H,Simple pass,82.0,33.0,83.0,49.0,Mohamed ,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Mohamed Salah,Mahmoud Ibrahim,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Tr\u00e9z\u00e9guet,Liverpool FC,Egypt,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Key pass,Accurate,,,,
10306,4690.0,2188.130679,2H,Smart pass,65.0,4.0,75.0,14.0,Yuri,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Y. Zhirkov,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,Russia,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Accurate,,,,,
58060,4694.0,2192.8762559999996,2H,Smart pass,78.0,11.0,80.0,63.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,,,AS Monaco FC,Russia,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Not accurate,,,,,
88768,4794.0,2466.848787,2H,Smart pass,72.0,83.0,89.0,67.0,Alexandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Samedov,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,Russia,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Through,Accurate,,,,
10093,4831.0,2574.6508089999998,2H,Smart pass,80.0,78.0,90.0,76.0,Alexandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Samedov,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,Russia,2018-06-19 18:00:00,Group A,"Russia - Egypt, 3 - 1",Accurate,,,,,
99584,5144.0,729.613985,1H,Cross,93.0,11.0,91.0,37.0,Jos\u00e9 Mart\u00edn,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. C\u00e1ceres,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,SS Lazio,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,Left foot,Accurate,,,
88732,5304.0,1280.184673,1H,Smart pass,67.0,27.0,98.0,24.0,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,Cristian Gabriel,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. Rodr\u00edguez,Paris Saint-Germain FC,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Through,Accurate,,,,
91035,5307.0,1332.300778,1H,Corner,100.0,0.0,0.0,0.0,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,,,,,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Assist,High,Not accurate,,,
99642,5336.0,1468.419577,1H,Simple pass,78.0,55.0,91.0,69.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,FC Barcelona,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,Counter attack,Accurate,,,
101585,5421.0,1697.5997619999998,1H,Cross,97.0,6.0,91.0,53.0,Yasir Gharsan,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Yasir Al Shahrani,Fahad Mosaed,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Fahad Al Muwallad,,Saudi Arabia,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,Left foot,High,Accurate,,
73815,5433.0,1742.868278,1H,Smart pass,69.0,22.0,79.0,28.0,Cristian Gabriel,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. Rodr\u00edguez,,,,,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Through,Not accurate,,,,
2421,5580.0,2206.659114,1H,Smart pass,67.0,17.0,98.0,4.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,Cristian Gabriel,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. Rodr\u00edguez,FC Barcelona,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Accurate,,,,,
2198,5669.0,2560.167737,1H,Smart pass,47.0,46.0,65.0,34.0,Mat\u00edas,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Vecino,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,FC Internazionale Milano,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Accurate,,,,,
73811,5916.0,507.67697099999987,2H,Smart pass,70.0,50.0,73.0,80.0,Salem Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salem Al Dawsari,Fahad Mosaed,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Fahad Al Muwallad,,Saudi Arabia,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Through,Not accurate,,,,
73816,5963.0,628.2931589999998,2H,Smart pass,87.0,28.0,93.0,35.0,Cristian Gabriel,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. Rodr\u00edguez,,,,,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Through,Not accurate,,,,
101621,6043.0,910.1048979999996,2H,Cross,83.0,93.0,93.0,53.0,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,Diego Sebasti\u00e1n,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Laxalt,,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,Right foot,High,Accurate,,
101732,6073.0,989.9124689999999,2H,Cross,79.0,16.0,93.0,63.0,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,Paris Saint-Germain FC,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,Counter attack,Right foot,High,,
95058,6140.0,1372.917133,2H,Free kick cross,84.0,90.0,93.0,55.0,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,,,,,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,High,Accurate,,,
73818,6267.0,1828.3685699999996,2H,Smart pass,76.0,46.0,0.0,0.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,,,,FC Barcelona,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Through,Not accurate,,,,
95059,6276.0,1910.8232870000002,2H,Free kick cross,73.0,94.0,88.0,66.0,Carlos Andr\u00e9s,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. S\u00e1nchez,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,High,Accurate,,,
95057,6518.0,2689.0558170000004,2H,Corner,100.0,0.0,90.0,58.0,Salman Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salman Al Faraj,Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Mohammed Kanno,,Saudi Arabia,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Key pass,High,Accurate,,,
56882,6570.0,2830.788528,2H,Smart pass,71.0,23.0,99.0,9.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,,,,FC Barcelona,Uruguay,2018-06-20 15:00:00,Group A,"Uruguay - Saudi Arabia, 1 - 0",Not accurate,,,,,
94551,6725.0,487.67730800000004,1H,Smart pass,89.0,25.0,89.0,28.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,,,,FC Barcelona,Uruguay,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Counter attack,Through,Not accurate,,,
99498,6742.0,710.477332,1H,Air duel,82.0,24.0,84.0,39.0,Artem,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",A. Dzyuba,,,,,Russia,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Key pass,Won,Accurate,,,
88787,6943.0,1598.333475,1H,Smart pass,83.0,49.0,83.0,37.0,Artem,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",A. Dzyuba,Aleksey,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Al. Miranchuk,,Russia,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Through,Accurate,,,,
99643,6959.0,1664.69888,1H,Simple pass,77.0,60.0,87.0,56.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,,,,FC Barcelona,Uruguay,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Key pass,Counter attack,Accurate,,,
73962,7274.0,2796.059538,1H,Smart pass,78.0,37.0,83.0,32.0,Alexandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Samedov,,,,,Russia,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Through,Not accurate,,,,
73964,7376.0,293.73341500000015,2H,Smart pass,64.0,68.0,100.0,35.0,Mat\u00edas,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Vecino,,,,FC Internazionale Milano,Uruguay,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Through,Not accurate,,,,
88788,7590.0,1124.328109,2H,Smart pass,78.0,61.0,91.0,60.0,Nahitan Michel,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",N. N\u00e1ndez,,,,,Uruguay,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Through,Accurate,,,,
101692,7831.0,2095.0824000000002,2H,Cross,92.0,30.0,77.0,88.0,Luis Alberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",L. Su\u00e1rez,Edinson Roberto,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",E. Cavani,FC Barcelona,Uruguay,2018-06-25 14:00:00,Group A,"Uruguay - Russia, 3 - 0",Key pass,Counter attack,Left foot,Accurate,,
73805,8118.0,286.33639100000005,1H,Smart pass,71.0,60.0,94.0,86.0,Hattan,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Hattan Bahbir,,,,,Saudi Arabia,2018-06-25 14:00:00,Group A,"Saudi Arabia - Egypt, 2 - 1",Through,Not accurate,,,,
73795,8150.0,353.08770400000003,1H,Smart pass,64.0,53.0,99.0,69.0,Abdullah Ibrahim,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Abdullah Otayf,,,,,Saudi Arabia,2018-06-25 14:00:00,Group A,"Saudi Arabia - Egypt, 2 - 1",Through,Not accurate,,,,
88728,8223.0,594.570973,1H,Smart pass,67.0,21.0,98.0,25.0,Abdallah Mahmoud El Said,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Abdallah Said,Mahmoud Ibrahim,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Tr\u00e9z\u00e9guet,,Egypt,2018-06-25 14:00:00,Group A,"Saudi Arabia - Egypt, 2 - 1",Through,Accurate,,,,
73797,8360.0,1070.149704,1H,Smart pass,80.0,19.0,72.0,8.0,Salman Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salman Al Faraj,,,,,Saudi Arabia,2018-06-25 14:00:00,Group A,"Saudi Arabia - Egypt, 2 - 1",Through,Not accurate,,,,
73807,8386.0,1163.85765,1H,Smart pass,53.0,11.0,70.0,17.0,Mohamed,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Mohamed Abdel-Shafi,Mohamed ,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Mohamed Salah,,Egypt,2018-06-25 14:00:00,Group A,"Saudi Arabia - Egypt, 2 - 1",Through,Not accurate,,,,
100810,8435.0,1283.535716,1H,High pass,36.0,78.0,82.0,65.0,Abdallah Mahmoud El Said,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Abdallah Said,Mohamed ,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Mohamed Salah,,Egypt,2018-06-25 14:00:00,Group A,"Saudi Arabia - Egypt, 2 - 1",Assist,Counter attack,Interception,Through,,
